asset_id,name,value_raw,unit_raw,value_norm,unit_norm,confidence,source,te_reason
b73089e2-ddc5-5685-83b1-90a3703b0382,NetVolume,6.437500000000378,,6.437500000000378,m³,1.0,ifc,assume_m3
b73089e2-ddc5-5685-83b1-90a3703b0382,Depth,250.00000000009484,,250.00000000009484,m,1.0,ifc,assume_m
b73089e2-ddc5-5685-83b1-90a3703b0382,NetArea,25.749999999991743,,25.749999999991743,m²,1.0,ifc,assume_m2
6e9a5f25-41c9-5e06-ad10-b978bc041f3b,NetVolume,6.7203428483966,,6.7203428483966,m³,1.0,ifc,assume_m3
6e9a5f25-41c9-5e06-ad10-b978bc041f3b,Depth,300.0000000001534,,300.0000000001534,m,1.0,ifc,assume_m
6e9a5f25-41c9-5e06-ad10-b978bc041f3b,NetArea,22.40114282797721,,22.40114282797721,m²,1.0,ifc,assume_m2
e2f94cf4-009e-5206-8075-e6f8eecc196b,NetVolume,1.26926493526358,,1.26926493526358,m³,1.0,ifc,assume_m3
e2f94cf4-009e-5206-8075-e6f8eecc196b,Width,-200.0000000000007,,-200.0000000000007,m,1.0,ifc,assume_m
e2f94cf4-009e-5206-8075-e6f8eecc196b,Length,1799.9999999999711,,1799.9999999999711,m,1.0,ifc,assume_m
e2f94cf4-009e-5206-8075-e6f8eecc196b,NetSideArea,6.346324676317877,,6.346324676317877,m²,1.0,ifc,assume_m2
40f07bd3-cf13-5a40-9b24-79dfff96626e,NetVolume,1.7856181822821586,,1.7856181822821586,m³,1.0,ifc,assume_m3
40f07bd3-cf13-5a40-9b24-79dfff96626e,Width,200.00000000017903,,200.00000000017903,m,1.0,ifc,assume_m
40f07bd3-cf13-5a40-9b24-79dfff96626e,Length,4200.000000000067,,4200.000000000067,m,1.0,ifc,assume_m
40f07bd3-cf13-5a40-9b24-79dfff96626e,NetSideArea,0.01,,0.01,m²,1.0,ifc,assume_m2
69e143da-7417-56b9-a331-4fe5afcd61f1,NetVolume,4.230883117545889,,4.230883117545889,m³,1.0,ifc,assume_m3
69e143da-7417-56b9-a331-4fe5afcd61f1,Width,200.00000000000975,,200.00000000000975,m,1.0,ifc,assume_m
